system,macro_f1,accuracy,pearson_r,pearson_p,auc_pos,auc_neg,auc_neu,macro_auc,F1_pos,P_pos,R_pos,F1_neg,P_neg,R_neg,F1_neu,P_neu,R_neu
PLEF,0.431,0.422,0.4352,0.0001,0.7683,0.8154,0.5537,0.7125,0.408,0.889,0.265,0.484,0.391,0.636,0.402,0.301,0.606
VADER,0.565,0.68,0.6741,0.0001,0.8642,0.8764,0.7268,0.8225,0.831,0.767,0.905,0.579,0.461,0.777,0.286,0.756,0.177
NRC,0.147,0.28,0.5352,0.0001,0.8306,0.8497,0.6905,0.7903,0.003,1.0,0.001,0,0,0.0,0.437,0.28,1.0
LIWC,0.622,0.686,0.6099,0.0001,0.8415,0.8523,0.7293,0.8077,0.814,0.788,0.841,0.576,0.575,0.577,0.475,0.513,0.443
